"","site_code","mean_thi_may","mean_clo_may","mean_total_may","mean_thi_planting","mean_clo_planting","mean_total_planting","hive_no","per_corn","dailymortality_plt","daily_mort_may","seams_bees_4","bees_cm2_4","capped_cm2_4","open_cm2_4","pollen_cm2_4","nectar_cm2_4","empty_cm2_4","fondation_cm2_4","total_comb_4","capped_per_comb_4","open_per_comb_4","pollen_per_comb_4","nectar_per_comb_4","empty_per_comb_4","drone_cm2_4","seams_bees_5","bees_cm2_5","capped_cm2_5","open_cm2_5","pollen_cm2_5","nectar_cm2_5","empty_cm2_5","fondation_cm2_5","total_comb_5","capped_per_comb_5","open_per_comb_5","pollen_per_comb_5","nectar_per_comb_5","empty_per_comb_5","drone_cm2_5","seams_bees_6","bees_cm2_6","capped_cm2_6","open_cm2_6","pollen_cm2_6","nectar_cm2_6","empty_cm2_6","fondation_cm2_6","total_comb_6","capped_per_comb_6","open_per_comb_6","pollen_per_comb_6","nectar_per_comb_6","empty_per_comb_6","drone_cm2_6","seams_bees_8","bees_cm2_8","capped_cm2_8","open_cm2_8","pollen_cm2_8","nectar_cm2_8","empty_cm2_8","fondation_cm2_8","total_comb_8","capped_per_comb_8","open_per_comb_8","pollen_per_comb_8","nectar_per_comb_8","empty_per_comb_8","drone_cm2_8","seams_bees_pchg_total","bees_cm2_pchg_total","capped_cm2_pchg_total","open_cm2_pchg_total","pollen_cm2_pchg_total","nectar_cm2_pchg_total","empty_cm2_pchg_total","fondation_cm2_pchg_total","total_comb_pchg_total","capped_per_comb_pchg_total","open_per_comb_pchg_total","pollen_per_comb_pchg_total","nectar_per_comb_pchg_total","empty_per_comb_pchg_total","drone_cm2_pchg_total","seams_bees_initial","bees_cm2_initial","capped_cm2_initial","open_cm2_initial","pollen_cm2_initial","nectar_cm2_initial","empty_cm2_initial","fondation_cm2_initial","total_comb_initial","capped_per_comb_initial","open_per_comb_initial","pollen_per_comb_initial","nectar_per_comb_initial","empty_per_comb_initial","drone_cm2_initial"
"19","MB",36,36.4,37.5,60.3333333333333,42,29.3333333333333,23,19,0.630509924,0.093388841,4,2573.72,1861.84,3230.84,438.08,1314.24,6625.96,2299.92,13470.96,13.82,23.98,3.25,9.76,49.19,0,9,6680.72,5804.56,4380.8,547.6,1642.8,4216.52,14949.48,16592.28,34.98,26.4,3.3,9.9,25.41,164.28,18,22780.16,10240.12,4983.16,2628.48,5311.72,7118.8,11773.4,30282.28,33.82,16.46,8.68,17.54,23.51,1642.8,19,19768.36,6571.2,4764.12,1971.36,12211.48,6713.576,9823.944,32231.736,20.39,14.78,6.12,37.89,20.83,273.8,375,668.085106382979,252.941176470588,47.4576271186441,350,829.166666666667,1.32231404958678,327.142857142857,139.268292682927,47.5397973950796,-38.3653044203503,88.3076923076923,288.217213114754,-57.6539947143728,NA,4,2573.72,1861.84,3230.84,438.08,1314.24,6625.96,2299.92,13470.96,13.82,23.98,3.25,9.76,49.19,0
"20","MB",36,36.4,37.5,60.3333333333333,42,29.3333333333333,11,19,0.630509924,0.093388841,4,2957.04,1149.96,2409.44,54.76,1204.72,1259.48,5749.8,6078.36,18.92,39.64,0.9,19.82,20.72,0,7,4107,5256.96,3340.36,54.76,2354.68,1259.48,19275.52,12266.24,42.86,27.23,0.45,19.2,10.27,438.08,13,15825.64,7940.2,4326.04,2135.64,3668.92,3077.512,20907.368,21148.312,37.55,20.46,10.1,17.35,14.55,1149.96,9,6461.68,3176.08,3395.12,1369,7392.6,6417.872,20305.008,21750.672,14.6,15.61,6.29,33.99,29.51,54.76,125,118.518518518519,176.190476190476,40.9090909090909,2400,513.636363636364,409.565217391304,253.142857142857,257.837837837838,-22.8329809725159,-60.6205852674067,598.888888888889,71.4934409687185,42.4227799227799,NA,4,2957.04,1149.96,2409.44,54.76,1204.72,1259.48,5749.8,6078.36,18.92,39.64,0.9,19.82,20.72,0
"21","MB",36,36.4,37.5,60.3333333333333,42,29.3333333333333,10,19,0.630509924,0.093388841,4,2628.48,1752.32,1697.56,164.28,1314.24,1040.44,5859.32,5968.84,29.36,28.44,2.75,22.02,17.43,0,10,4216.52,4818.88,4326.04,657.12,3614.16,1369,16756.56,14785.2,32.59,29.26,4.44,24.44,9.26,492.84,15,16263.72,7064.04,5092.68,3614.16,3887.96,4304.136,18092.704,23962.976,29.48,21.25,15.08,16.22,17.96,876.16,15,14511.4,5476,3833.2,3997.48,9692.52,4687.456,14369.024,27686.656,19.78,13.84,14.44,35.01,16.93,328.56,275,452.083333333333,212.5,125.806451612903,2333.33333333333,637.5,350.526315789474,145.233644859813,363.853211009174,-32.6294277929155,-51.3361462728551,425.090909090909,58.991825613079,-2.86861732644865,NA,4,2628.48,1752.32,1697.56,164.28,1314.24,1040.44,5859.32,5968.84,29.36,28.44,2.75,22.02,17.43,0
"22","MO",28.9,36.3,50.9,42.6666666666667,52.3333333333333,34.3333333333333,37,39,0.890885121,0.116809071,12,4928.4,4107,3778.44,657.12,2628.48,12923.36,3504.64,24094.4,17.05,15.68,2.73,10.91,53.64,0,22,21411.16,7173.56,3887.96,2683.24,7666.4,21246.88,5968.84,42658.04,16.82,9.11,6.29,17.97,49.81,930.92,20,19987.4,7885.44,3176.08,5256.96,12156.72,15223.28,4983.16,43698.48,18.05,7.27,12.03,27.82,34.84,1478.52,13,6845,657.12,4928.4,8159.24,19275.52,14401.88,6461.68,47422.16,1.39,10.39,17.21,40.65,30.37,602.36,8.33333333333333,38.8888888888889,-84,30.4347826086956,1141.66666666667,633.333333333333,11.4406779661017,84.375,96.8181818181818,-91.8475073313783,-33.7372448979592,530.40293040293,272.593950504125,-43.3818046234154,NA,12,4928.4,4107,3778.44,657.12,2628.48,12923.36,3504.64,24094.4,17.05,15.68,2.73,10.91,53.64,0
"23","MO",28.9,36.3,50.9,42.6666666666667,52.3333333333333,34.3333333333333,1,39,0.890885121,0.116809071,5,3340.36,3285.6,2354.68,273.8,1807.08,876.16,3230.84,8597.32,38.22,27.39,3.18,21.02,10.19,0,12,9856.8,5476,2518.96,2464.2,3833.2,7567.832,9681.568,21860.192,25.05,11.52,11.27,17.54,34.62,547.6,8,7940.2,5421.24,4490.32,3395.12,4928.4,5125.536,18695.064,23360.616,23.21,19.22,14.53,21.1,21.94,0,12,8652.08,5530.76,3449.88,2464.2,11609.12,5202.2,13799.52,28256.16,19.57,12.21,8.72,41.09,18.41,164.28,140,159.016393442623,68.3333333333333,46.5116279069768,800,542.424242424242,493.75,327.118644067797,228.662420382166,-48.7964416535845,-55.421686746988,174.213836477987,95.4804947668887,80.6673209028459,NA,5,3340.36,3285.6,2354.68,273.8,1807.08,876.16,3230.84,8597.32,38.22,27.39,3.18,21.02,10.19,0
"24","MO",28.9,36.3,50.9,42.6666666666667,52.3333333333333,34.3333333333333,2,39,0.890885121,0.116809071,7,3559.4,4435.56,602.36,657.12,2245.16,1533.28,2354.68,9473.48,46.82,6.36,6.94,23.7,16.18,0,12,10404.4,4983.16,2464.2,2354.68,4271.28,7710.208,9758.232,21783.528,22.88,11.31,10.81,19.61,35.39,109.52,20,19001.72,7447.36,4161.76,4490.32,7118.8,6954.52,11882.92,30172.76,24.68,13.79,14.88,23.59,23.05,547.6,13,11937.68,5640.28,3449.88,4380.8,21192.12,5202.2,12704.32,39865.28,14.15,8.65,10.99,53.16,13.05,164.28,85.7142857142857,235.384615384615,27.1604938271605,472.727272727273,566.666666666667,843.90243902439,239.285714285714,439.53488372093,320.809248554913,-69.7778727039727,36.0062893081761,58.35734870317,124.303797468354,-19.344870210136,NA,7,3559.4,4435.56,602.36,657.12,2245.16,1533.28,2354.68,9473.48,46.82,6.36,6.94,23.7,16.18,0
"25","MO",28.9,36.3,50.9,42.6666666666667,52.3333333333333,34.3333333333333,16,39,0.890885121,0.116809071,6,3778.44,1916.6,3066.56,492.84,1095.2,6954.52,2245.16,13525.72,14.17,22.67,3.64,8.1,51.42,0,13,13525.72,6735.48,1478.52,2628.48,2190.4,11401.032,7107.848,24433.912,27.57,6.05,10.76,8.96,46.66,383.32,18,20206.44,8049.72,3504.64,3449.88,13416.2,14237.6,11280.56,42658.04,18.87,8.22,8.09,31.45,33.38,164.28,30,31103.68,6023.6,3778.44,4764.12,30337.04,4380.8,3285.6,49284,12.22,7.67,9.67,61.56,8.89,0,400,723.188405797101,214.285714285714,23.2142857142857,866.666666666667,2670,-37.007874015748,46.3414634146342,264.372469635628,-13.7614678899083,-66.1667401852669,165.659340659341,660,-82.7110073901206,NA,6,3778.44,1916.6,3066.56,492.84,1095.2,6954.52,2245.16,13525.72,14.17,22.67,3.64,8.1,51.42,0
"26","MO",28.9,36.3,50.9,42.6666666666667,52.3333333333333,34.3333333333333,40,39,0.890885121,0.116809071,6,2573.72,1478.52,0,547.6,1478.52,25408.64,2628.48,28913.28,5.11,0,1.89,5.11,87.88,0,10,7502.12,1533.28,985.68,1423.76,4873.64,38332,2354.68,47148.36,3.25,2.09,3.02,10.34,81.3,0,19,13251.92,6571.2,4983.16,657.12,8049.72,26230.04,3449.88,46491.24,14.13,10.72,1.41,17.31,56.42,383.32,11,7940.2,383.32,2464.2,1642.8,17085.12,17085.12,766.64,38660.56,0.99,6.37,4.25,44.19,44.19,0,83.3333333333333,208.510638297872,-74.0740740740741,NA,200,1055.55555555556,-32.7586206896552,-70.8333333333333,33.7121212121212,-80.6262230919765,NA,124.867724867725,764.774951076321,-49.7155211652253,NA,6,2573.72,1478.52,0,547.6,1478.52,25408.64,2628.48,28913.28,5.11,0,1.89,5.11,87.88,0
"27","MO",28.9,36.3,50.9,42.6666666666667,52.3333333333333,34.3333333333333,39,39,0.890885121,0.116809071,10,4545.08,3285.6,1861.84,492.84,2409.44,17194.64,10240.12,25244.36,13.02,7.38,1.95,9.54,68.11,0,8,7885.44,821.4,0,1807.08,5804.56,34225,7283.08,42658.04,1.93,0,4.24,13.61,80.23,766.64,11,3449.88,3833.2,3559.4,1752.32,9418.72,8301.616,12561.944,26865.256,14.27,13.25,6.52,35.06,30.9,0,20,11828.16,3833.2,1752.32,2847.52,26503.84,12047.2,2957.04,46984.08,8.16,3.73,6.06,56.41,25.64,0,100,160.240963855422,16.6666666666667,-5.88235294117647,477.777777777778,1000,-29.9363057324841,-71.1229946524064,86.117136659436,-37.3271889400922,-49.4579945799458,210.769230769231,491.299790356394,-62.3550139480253,NA,10,4545.08,3285.6,1861.84,492.84,2409.44,17194.64,10240.12,25244.36,13.02,7.38,1.95,9.54,68.11,0
"28","SC",31,27.1,58.5,35.3333333333333,35.3333333333333,67,4,8,0.557895802,0.085869496,6,4654.6,3723.68,3121.32,383.32,2738,1861.84,1971.36,11828.16,31.48,26.39,3.24,23.15,15.74,0,11,6735.48,4983.16,4873.64,2518.96,3887.96,492.84,9637.76,16756.56,29.74,29.08,15.03,23.2,2.94,0,15,9418.72,4764.12,3011.8,5640.28,5421.24,2902.28,20315.96,21739.72,21.91,13.85,25.94,24.94,13.35,438.08,15,13690,4216.52,3614.16,6297.4,9966.32,1314.24,16647.04,25408.64,16.59,14.22,24.78,39.22,5.17,328.56,150,194.117647058824,13.2352941176471,15.7894736842105,1542.85714285714,264,-29.4117647058823,744.444444444444,114.814814814815,-47.299872935197,-46.1159530125047,664.814814814815,69.4168466522678,-67.15374841169,NA,6,4654.6,3723.68,3121.32,383.32,2738,1861.84,1971.36,11828.16,31.48,26.39,3.24,23.15,15.74,0
"29","SC",31,27.1,58.5,35.3333333333333,35.3333333333333,67,3,8,0.557895802,0.085869496,6,4435.56,4161.76,2847.52,766.64,2080.88,2738,1204.72,12594.8,33.04,22.61,6.09,16.52,21.74,0,10,5749.8,3997.48,5311.72,766.64,3723.68,985.68,11499.6,14785.2,27.04,35.93,5.19,25.19,6.67,0,11,8597.32,4052.24,3340.36,1369,5530.76,4983.16,22780.16,19275.52,21.02,17.33,7.1,28.69,25.85,109.52,12,7611.64,2245.16,2683.24,2573.72,10021.08,4939.352,19593.128,22462.552,10,11.95,11.46,44.61,21.99,54.76,100,71.6049382716049,-46.0526315789474,-5.76923076923078,235.714285714286,381.578947368421,80.4,1526.36363636364,78.3478260869565,-69.7336561743341,-47.1472799646174,88.1773399014779,170.036319612591,1.14995400183993,NA,6,4435.56,4161.76,2847.52,766.64,2080.88,2738,1204.72,12594.8,33.04,22.61,6.09,16.52,21.74,0
"30","SC",31,27.1,58.5,35.3333333333333,35.3333333333333,67,48,8,0.557895802,0.085869496,20,11006.76,0,711.88,4764.12,6297.4,31158.44,14894.72,42931.84,0,1.66,11.1,14.67,72.58,0,20,11225.8,5695.04,2026.12,3066.56,11609.12,18125.56,12047.2,40522.4,14.05,5,7.57,28.65,44.73,383.32,33,12101.96,7666.4,4709.36,2957.04,9254.44,28803.76,9692.52,53391,14.36,8.82,5.54,17.33,53.95,219.04,30,24970.56,5311.72,1971.36,6406.92,25846.72,23382.52,164.28,62919.24,8.44,3.13,10.18,41.08,37.16,164.28,50,126.865671641791,NA,176.923076923077,34.4827586206897,310.434782608696,-24.9560632688928,-98.8970588235294,46.5561224489796,NA,88.5542168674699,-8.28828828828829,180.027266530334,-48.8013226784238,NA,20,11006.76,0,711.88,4764.12,6297.4,31158.44,14894.72,42931.84,0,1.66,11.1,14.67,72.58,0
"31","SC",31,27.1,58.5,35.3333333333333,35.3333333333333,67,45,8,0.557895802,0.085869496,29,10130.6,5476,3614.16,4161.76,9090.16,15223.28,15004.24,37565.36,14.58,9.62,11.08,24.2,40.52,0,29,8816.36,5476,4326.04,7556.88,16756.56,10787.72,13909.04,44903.2,12.2,9.63,16.83,37.32,24.02,0,23,8104.48,3176.08,3176.08,6899.76,10075.84,18454.12,17358.92,41781.88,7.6,7.6,16.51,24.12,44.17,657.12,15,12868.6,5202.2,2518.96,4326.04,22999.2,13503.816,11576.264,48550.216,10.72,5.19,8.91,47.37,27.81,0,-48.2758620689655,27.027027027027,-5,-30.3030303030303,3.94736842105263,153.012048192771,-11.294964028777,-22.8467153284672,29.2419825072886,-26.4746227709191,-46.049896049896,-19.5848375451264,95.7438016528926,-31.3672260612044,NA,29,10130.6,5476,3614.16,4161.76,9090.16,15223.28,15004.24,37565.36,14.58,9.62,11.08,24.2,40.52,0
"32","SC",31,27.1,58.5,35.3333333333333,35.3333333333333,67,17,8,0.557895802,0.085869496,5,3887.96,2573.72,1752.32,328.56,328.56,6516.44,4271.28,11499.6,22.38,15.24,2.86,2.86,56.67,0,6,6133.12,3340.36,2245.16,219.04,2847.52,13887.136,8673.984,22539.216,14.82,9.96,0.97,12.63,61.61,0,21,13032.88,6406.92,3942.72,4271.28,6406.92,6845,15497.08,27872.84,22.99,14.15,15.32,22.99,24.56,54.76,22,7940.2,1916.6,547.6,7228.32,24970.56,1325.192,6067.408,35988.272,5.33,1.52,20.09,69.39,3.68,0,340,104.225352112676,-25.531914893617,-68.75,2100,7500,-79.6638655462185,42.0512820512821,212.952380952381,-76.1840929401251,-90.0262467191601,602.447552447553,2326.22377622378,-93.5062643373919,NA,5,3887.96,2573.72,1752.32,328.56,328.56,6516.44,4271.28,11499.6,22.38,15.24,2.86,2.86,56.67,0
"33","SC",31,27.1,58.5,35.3333333333333,35.3333333333333,67,49,8,0.557895802,0.085869496,25,10952,4983.16,6352.16,4326.04,5366.48,16318.48,16537.52,37346.32,13.34,17.01,11.58,14.37,43.7,0,23,10294.88,328.56,0,6406.92,15442.32,18497.928,13208.112,40675.728,0.81,0,15.75,37.96,45.48,0,17,3504.64,0,0,5092.68,4654.6,25627.68,18508.88,35374.96,0,0,14.4,13.16,72.45,0,9,8706.84,2573.72,1314.24,2245.16,492.84,13394.296,11521.504,20020.256,12.86,6.56,11.21,2.46,66.9,0,-64,-20.5,-48.3516483516484,-79.3103448275862,-48.1012658227848,-90.8163265306122,-17.9194630872483,-30.3311258278146,-46.3929618768328,-3.59820089955023,-61.4344503233392,-3.19516407599309,-82.8810020876827,53.0892448512586,NA,25,10952,4983.16,6352.16,4326.04,5366.48,16318.48,16537.52,37346.32,13.34,17.01,11.58,14.37,43.7,0
"34","TV",35.2,23,52.4,35,38.6666666666667,41.6666666666667,64,31,0.951703623,0.112411043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,27215.72,7447.36,2683.24,6352.16,14730.44,16625.136,20502.144,47838.336,15.57,5.61,13.28,30.79,34.75,164.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","TV",35.2,23,52.4,35,38.6666666666667,41.6666666666667,63,31,0.951703623,0.112411043,19,19549.32,4052.24,0,1040.44,3942.72,24751.52,4326.04,33786.92,11.99,0,3.08,11.67,73.26,0,12,9856.8,0,657.12,2683.24,11718.64,21520.68,19166,36579.68,0,1.8,7.34,32.04,58.83,0,9,5092.68,0,1095.2,2409.44,1807.08,27993.312,22550.168,33305.032,0,3.29,7.23,5.43,84.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19549.32,4052.24,0,1040.44,3942.72,24751.52,4326.04,33786.92,11.99,0,3.08,11.67,73.26,0
"36","TV",35.2,23,52.4,35,38.6666666666667,41.6666666666667,62,31,0.951703623,0.112411043,10,8953.26,54.76,0,1259.48,3970.1,12731.7,13525.72,18016.04,0.3,0,6.99,22.04,70.67,0,7,4709.36,3011.8,2518.96,1807.08,9035.4,33622.64,5202.2,49995.88,6.02,5.04,3.61,18.07,67.25,0,13,9637.76,5147.44,3121.32,1478.52,7392.6,12518.136,15026.144,29658.016,17.36,10.52,4.99,24.93,42.21,109.52,16,12375.76,766.64,3230.84,3887.96,26558.6,22539.216,8728.744,56983.256,1.35,5.67,6.82,46.61,39.55,0,60,38.2262996941896,1300,NA,208.695652173913,568.965517241379,77.0322580645161,-35.4655870445344,216.29179331307,350,NA,-2.43204577968526,111.479128856624,-44.0356586953446,NA,10,8953.26,54.76,0,1259.48,3970.1,12731.7,13525.72,18016.04,0.3,0,6.99,22.04,70.67,0
"37","WB",52.8,36.6,55,46.3333333333333,45,45,28,30,0.328982,0.090912312,15,8433.04,5804.56,5749.8,3011.8,5804.56,14894.72,6790.24,35265.44,16.46,16.3,8.54,16.46,42.24,0,26,11663.88,7118.8,5530.76,3668.92,22725.4,2628.48,383.32,41672.36,17.08,13.27,8.8,54.53,6.31,328.56,20,23765.84,6735.48,4599.84,4873.64,39865.28,5476,1533.28,61550.24,10.94,7.47,7.92,64.77,8.9,711.88,17,22396.84,5421.24,2464.2,7775.92,35867.8,11006.76,383.32,62535.92,8.67,3.94,12.43,57.36,17.6,328.56,13.3333333333333,165.584415584416,-6.60377358490567,-57.1428571428572,158.181818181818,517.924528301887,-26.1029411764706,-94.3548387096774,77.3291925465838,-47.3268529769137,-75.8282208588957,45.5503512880562,248.481166464156,-58.3333333333333,NA,15,8433.04,5804.56,5749.8,3011.8,5804.56,14894.72,6790.24,35265.44,16.46,16.3,8.54,16.46,42.24,0
"38","WB",52.8,36.6,55,46.3333333333333,45,45,12,30,0.328982,0.090912312,6,2518.96,219.04,1533.28,876.16,5092.68,4709.36,3340.36,12430.52,1.76,12.33,7.05,40.97,37.89,0,7,3121.32,3449.88,3285.6,492.84,5585.52,11225.8,7502.12,24039.64,14.35,13.67,2.05,23.23,46.7,328.56,11,16044.68,1149.96,1807.08,2135.64,9090.16,23930.12,3942.72,38112.96,3.02,4.74,5.6,23.85,62.79,219.04,18,12704.32,4599.84,2190.4,3066.56,13909.04,6680.72,11718.64,30446.56,15.11,7.19,10.07,45.68,21.94,328.56,200,404.347826086957,2000,42.8571428571429,250,173.118279569892,41.8604651162791,250.819672131147,144.933920704846,758.522727272727,-41.6869424168694,42.8368794326241,11.496216743959,-42.0955397202428,NA,6,2518.96,219.04,1533.28,876.16,5092.68,4709.36,3340.36,12430.52,1.76,12.33,7.05,40.97,37.89,0
"39","WB",52.8,36.6,55,46.3333333333333,45,45,13,30,0.328982,0.090912312,7,3559.4,383.32,2409.44,219.04,4435.56,5749.8,2573.72,13197.16,2.9,18.26,1.66,33.61,43.57,0,12,3504.64,4928.4,3997.48,109.52,8268.76,8652.08,5585.52,25956.24,18.99,15.4,0.42,31.86,33.33,54.76,20,27818.08,8104.48,3121.32,1149.96,11499.6,14128.08,5366.48,38003.44,21.33,8.21,3.03,30.26,37.18,876.16,17,15825.64,5256.96,2738,4599.84,29132.32,9363.96,1478.52,51091.08,10.29,5.36,9,57.02,18.33,273.8,142.857142857143,344.615384615385,1271.42857142857,13.6363636363636,2000,556.79012345679,62.8571428571428,-42.5531914893617,287.136929460581,254.827586206897,-70.6462212486309,442.168674698795,69.6518893186552,-57.929768189121,NA,7,3559.4,383.32,2409.44,219.04,4435.56,5749.8,2573.72,13197.16,2.9,18.26,1.66,33.61,43.57,0
"40","WB",52.8,36.6,55,46.3333333333333,45,45,26,30,0.328982,0.090912312,8,3668.92,1478.52,1533.28,1204.72,2683.24,8706.84,164.28,15606.6,9.47,9.82,7.72,17.19,55.79,0,6,2792.76,2245.16,2573.72,2245.16,4873.64,8214,11390.08,20151.68,11.14,12.77,11.14,24.18,40.76,109.52,11,14347.12,4052.24,930.92,1916.6,8049.72,9068.256,7524.024,24017.736,16.87,3.88,7.98,33.52,37.76,328.56,6,3340.36,0,109.52,4052.24,13799.52,6823.096,17216.544,24784.376,0,0.44,16.35,55.68,27.53,0,-25,-8.95522388059701,-100,-92.8571428571429,236.363636363636,414.285714285714,-21.6352201257862,10380,58.8070175438597,-100,-95.5193482688391,111.787564766839,223.9092495637,-50.6542391109518,NA,8,3668.92,1478.52,1533.28,1204.72,2683.24,8706.84,164.28,15606.6,9.47,9.82,7.72,17.19,55.79,0
