order,date,year,month,day,julian,site,initialwt,finalwt,units,media,dinotefuran,nitenpyram,thiamethoxam,clothianidin,imidacloprid,acetamiprid,thiacloprid
1,4/29/2015,2015,4,29,119,BG,3,1.99,ng/g,field_pollen,0.04,0.561,0.202,3.823,0.148,0.091,1.004
2,5/1/2015,2015,5,1,121,DS,3,2,ng/g,field_pollen,0.04,0.732,3.448,7.989,0.82,0.783,0.062
3,4/29/2015,2015,4,29,119,FSR,3,1.996,ng/g,field_pollen,0.04,0.434,0.202,2.832,0.718,0.213,0.296
4,4/29/2015,2015,4,29,119,HR,3,1.98,ng/g,field_pollen,0.976,0.443,0.202,0.819,0.148,0.091,1.037
5,4/29/2015,2015,4,29,119,IB,3,1.996,ng/g,field_pollen,0.04,0.434,2.641,3.747,3.611,0.484,6.10E-02
6,4/30/2015,2015,4,30,120,MB,1,0.97,ng/g,field_pollen,0.04,0.434,0.202,0.618,0.148,0.438,0.822
7,4/29/2015,2015,4,29,119,MO,3,2.01,ng/g,field_pollen,0.04,0.434,1.254,3.897,0.148,0.687,0.605
8,4/29/2015,2015,4,29,119,SC,3,1.998,ng/g,field_pollen,0.04,0.434,0.202,0.618,3.066,0.091,1.018
9,4/29/2015,2015,4,29,119,TV,3,1.996,ng/g,field_pollen,0.04,0.825,2.806,1.761,0,0.091,6.10E-02
10,4/30/2015,2015,4,30,120,WB,1,0.953,ng/g,field_pollen,0.925,0.434,7.517,6.35,6.311,1.424,1.674
11,5/2/2015,2015,5,2,122,BG,3,1.506,ng/g,field_pollen,0.118,0.434,3.047,4.247,2.405,0.541,0.407
12,5/2/2015,2015,5,2,122,DS,3,1.51,ng/g,field_pollen,0.099,0.945,5.091,5.291,2.039,0.467,0.589
13,5/2/2015,2015,5,2,122,FSR,3,1.499,ng/g,field_pollen,0.04,0.434,46.482,91.88,3.567,0.091,0.16
14,5/2/2015,2015,5,2,122,HR,3,1.497,ng/g,field_pollen,0.04,0.985,0.202,12.714,0.217,0.268,6.10E-02
15,5/2/2015,2015,5,2,122,IB,3,1.499,ng/g,field_pollen,0.286,0.593,1.547,5.086,2.259,0.559,0.694
16,5/2/2015,2015,5,2,122,MB,3,1.499,ng/g,field_pollen,0.04,0.434,3.673,18.058,4.076,0.091,0.662
17,5/2/2015,2015,5,2,122,MO,3,1.497,ng/g,field_pollen,0.04,0.434,2.716,8.959,1.177,0.253,0.183
18,5/2/2015,2015,5,2,122,SC,3,1.491,ng/g,field_pollen,0.04,0.434,0.202,50.276,10.022,0.804,0.73
19,5/2/2015,2015,5,2,122,TV,3,1.504,ng/g,field_pollen,0.04,0.434,1.672,15.342,2.083,0.314,0.341
20,5/2/2015,2015,5,2,122,WB,3,1.51,ng/g,field_pollen,0.371,0.434,3.596,8.872,2.357,0.416,0.767
21,5/5/2015,2015,5,5,125,BG,3,1.508,ng/g,field_pollen,0.04,1.307,24.049,11.804,9.692,1.536,1.809
22,5/5/2015,2015,5,5,125,DS,3,1.51,ng/g,field_pollen,0.04,0.434,2.968,7.09,0.701,0.307,6.10E-02
23,5/5/2015,2015,5,5,125,FSR,3,1.49,ng/g,field_pollen,0.04,0.434,19.051,46.935,4.645,0.631,0.825
24,5/5/2015,2015,5,5,125,HR,3,1.49,ng/g,field_pollen,0.04,0.434,3.28,17.752,1.411,0.091,6.10E-02
25,5/5/2015,2015,5,5,125,IB,3,1.5,ng/g,field_pollen,0.04,0.434,3.213,10.927,0.797,0.091,0.143
26,5/5/2015,2015,5,5,125,MB,3,1.49,ng/g,field_pollen,0.04,0.434,3.029,9.855,1.793,0.747,0.494
27,5/5/2015,2015,5,5,125,MO,3,1.5,ng/g,field_pollen,0.04,0.434,1.872,23.514,4.326,2.60E-01,0.137
28,5/5/2015,2015,5,5,125,SC,3,1.5,ng/g,field_pollen,0.04,0.434,5.226,10.326,2.124,0.091,0.694
29,5/5/2015,2015,5,5,125,TV,3,1.5,ng/g,field_pollen,0.04,1.057,16.692,37.944,0.879,0.186,0.137
30,5/5/2015,2015,5,5,125,WB,3,1.5,ng/g,field_pollen,0.04,0.434,10.101,19.605,4.237,0.727,1.226
31,5/8/2015,2015,5,8,128,BG,3,2,ng/g,field_pollen,0.04,0.434,8.169,13.628,1.733,0.116,0.294
32,5/8/2015,2015,5,8,128,DS,3,2,ng/g,field_pollen,0.04,0.434,0.385,10.026,2.873,0.537,0.662
33,5/8/2015,2015,5,8,128,FSR,3,2.01,ng/g,field_pollen,0.04,0.434,1.387,2.223,1.49,0.091,0.392
34,5/8/2015,2015,5,8,128,HR,3,1.99,ng/g,field_pollen,0.04,0.434,15.391,34.812,2.543,2.23E-01,6.10E-02
35,5/8/2015,2015,5,8,128,IB,3,2,ng/g,field_pollen,0.04,0.787,6.737,7.984,3.378,0.753,0.742
36,5/8/2015,2015,5,8,128,MB,3,1.98,ng/g,field_pollen,0.04,0.434,5.253,3.875,1.601,0.301,0.506
37,5/8/2015,2015,5,8,128,MO,3,2,ng/g,field_pollen,0.04,0.434,3.226,9.407,5.729,0.164,0.469
38,5/8/2015,2015,5,8,128,SC,3,2,ng/g,field_pollen,0.04,0.434,2.191,4.089,2.107,0.091,0.613
39,5/8/2015,2015,5,8,128,TV,3,1.99,ng/g,field_pollen,0.062,0.434,2.744,7.554,1.094,0.12,0.219
40,5/8/2015,2015,5,8,128,WB,3,1.99,ng/g,field_pollen,0.04,0.434,20.462,5.411,1.393,0.281,3.88E-01
41,5/11/2015,2015,5,11,131,BG,3,1.99,ng/g,field_pollen,0.04,0.434,11.7,14.2,4.214,0.382,1.357
42,5/11/2015,2015,5,11,131,DS,3,1.99,ng/g,field_pollen,0.04,0.434,0.202,1.81,1.456,0.204,2.80E-01
43,5/11/2015,2015,5,11,131,FSR,3,2.01,ng/g,field_pollen,0.04,0.434,12.858,17.014,27.844,0.091,0.522
44,5/11/2015,2015,5,11,131,HR,3,2,ng/g,field_pollen,0.04,0.434,2.387,8.788,1.741,0.091,0.131
45,5/11/2015,2015,5,11,131,IB,3,2.04,ng/g,field_pollen,0.04,0.434,2.463,9.038,1.618,0.091,0.251
46,5/11/2015,2015,5,11,131,MB,3,2,ng/g,field_pollen,0.04,0.434,1.673,1.772,1.889,0.239,0.411
47,5/11/2015,2015,5,11,131,MO,3,2,ng/g,field_pollen,0.04,0.434,1.44,3.349,1.212,1.64E-01,2.46E-01
48,5/11/2015,2015,5,11,131,SC,3,2.02,ng/g,field_pollen,0.04,0.434,5.983,5.194,4.193,0.091,6.10E-02
49,5/11/2015,2015,5,11,131,TV,3,2.02,ng/g,field_pollen,0.04,0.434,1.644,19.518,3.58,0.091,6.10E-02
50,5/11/2015,2015,5,11,131,WB,3,2,ng/g,field_pollen,0.04,0.434,5.287,9.744,3.478,0.216,0.614
51,5/14/2015,2015,5,14,134,BG,3,2,ng/g,field_pollen,0.029,0.093,0.057,0.938,2.016,0.047,0.042
52,5/14/2015,2015,5,14,134,DS,3,2.02,ng/g,field_pollen,0.029,0.291,0.057,0.938,0.895,2.24E-01,1.97E-01
53,5/14/2015,2015,5,14,134,FSR,3,2,ng/g,field_pollen,0.062,0.061,3.125,0.938,1.238,0.047,2.16E-01
54,5/14/2015,2015,5,14,134,HR,3,2.01,ng/g,field_pollen,0.029,0.424,1.185,1.775,1.079,0.047,0.229
55,5/14/2015,2015,5,14,134,IB,3,2,ng/g,field_pollen,0.029,0.45,14.373,1.371,0.505,0.069,0.248
56,5/14/2015,2015,5,14,134,MB,3,1.99,ng/g,field_pollen,0.029,0.061,3.221,5.3,3.03,0.047,0.28
57,5/14/2015,2015,5,14,134,MO,3,2,ng/g,field_pollen,0.029,0.061,2.81,2.395,6.713,0.047,1.751
58,5/14/2015,2015,5,14,134,SC,3,1.99,ng/g,field_pollen,0.029,0.061,0.057,0.938,1.243,0.047,0.168
59,5/14/2015,2015,5,14,134,TV,3,2,ng/g,field_pollen,0.029,0.061,0.615,0.938,0.761,0.047,0.317
60,5/14/2015,2015,5,14,134,WB,3,1.99,ng/g,field_pollen,0.029,0.757,2.546,1.809,2.051,2.30E-01,0.249
61,5/19/2015,2015,5,19,139,BG,3,1.5,ng/g,field_pollen,0.642,0.061,4.153,2.285,3.067,0.926,0.304
62,5/19/2015,2015,5,19,139,DS,3,1.51,ng/g,field_pollen,0.081,0.061,0.611,0.938,1.153,0.129,0.278
63,5/19/2015,2015,5,19,139,FSR,3,1.5,ng/g,field_pollen,0.092,0.652,1.072,1.297,1.67,0.763,0.477
64,5/19/2015,2015,5,19,139,HR,3,1.49,ng/g,field_pollen,0.029,1.004,0.701,0.938,4.039,0.047,0.785
65,5/19/2015,2015,5,19,139,IB,3,1.49,ng/g,field_pollen,0.029,0.254,1.822,0.938,1.42,0.047,0.385
66,5/19/2015,2015,5,19,139,MB,3,1.5,ng/g,field_pollen,0.029,0.061,0.368,0.938,0.562,0.277,0.145
67,5/19/2015,2015,5,19,139,MO,3,1.49,ng/g,field_pollen,0.029,0.061,0.057,1.701,3.095,0.047,0.359
68,5/19/2015,2015,5,19,139,SC,3,1.5,ng/g,field_pollen,0.116,0.645,1.661,0.938,3.52,0.047,0.467
69,5/19/2015,2015,5,19,139,TV,3,1.49,ng/g,field_pollen,0.029,0.22,1.517,0.938,1.22,0.047,0.364
70,5/19/2015,2015,5,19,139,WB,3,1.49,ng/g,field_pollen,0.029,0.061,3.384,0.938,2.161,0.083,0.442
71,5/23/2015,2015,5,23,143,BG,3,1.98,ng/g,field_pollen,0.029,0.811,0.659,0.938,3.891,0.548,0.804
72,5/23/2015,2015,5,23,143,DS,3,1.98,ng/g,field_pollen,0.029,0.171,0.598,0.938,0.527,0.477,0.398
73,5/23/2015,2015,5,23,143,FSR,3,2,ng/g,field_pollen,0.029,0.165,0.87,0.938,2.638,0.41,0.567
74,5/23/2015,2015,5,23,143,HR,3,2,ng/g,field_pollen,0.609,1.003,2.416,0.938,10.628,2.823,3.19
75,5/23/2015,2015,5,23,143,IB,3,2.01,ng/g,field_pollen,0.08,0.061,0.455,0.938,0.834,0.114,0.072
76,5/23/2015,2015,5,23,143,MB,3,2,ng/g,field_pollen,0.33,0.061,0.057,7.236,2.705,0.493,0.897
77,5/23/2015,2015,5,23,143,MO,3,1.99,ng/g,field_pollen,0.029,0.559,0.057,2.157,4.399,1.04,1.889
78,5/23/2015,2015,5,23,143,SC,3,2,ng/g,field_pollen,7.888,0.784,13.305,4.115,25.38,6.141,6.393
79,5/23/2015,2015,5,23,143,TV,3,2,ng/g,field_pollen,0.029,1.418,3.801,1.221,4.223,0.594,0.814
80,5/23/2015,2015,5,23,143,WB,3,2.01,ng/g,field_pollen,0.029,4.238,3.484,2.677,2.106,0.047,0.433
81,5/27/2015,2015,5,27,147,BG,3,2,ng/g,field_pollen,0.35,0.691,2.699,0.938,1.519,0.434,0.204
82,5/27/2015,2015,5,27,147,DS,3,2,ng/g,field_pollen,0.891,0.08,0.057,1.704,5.023,1.614,1.913
83,5/27/2015,2015,5,27,147,FSR,3,2.02,ng/g,field_pollen,0.029,1.311,0.057,0.938,10.658,0.047,2.107
84,5/27/2015,2015,5,27,147,HR,3,2.02,ng/g,field_pollen,0.029,0.311,0.057,7.52,4.81,0.047,1.489
85,5/27/2015,2015,5,27,147,IB,3,2,ng/g,field_pollen,0.029,0.745,0.92,0.938,4,0.047,1.332
86,5/27/2015,2015,5,27,147,MB,3,2,ng/g,field_pollen,0.029,0.424,1.324,7.6,5.375,0.047,0.891
87,5/27/2015,2015,5,27,147,MO,3,2,ng/g,field_pollen,0.029,0.061,0.057,0.938,3.865,0.11,1.189
88,5/27/2015,2015,5,27,147,SC,3,2.01,ng/g,field_pollen,1.13,0.061,0.057,0.938,6.915,0.047,1.674
89,5/27/2015,2015,5,27,147,TV,3,2,ng/g,field_pollen,0.277,0.351,0.879,0.938,3.642,0.781,0.793
90,5/27/2015,2015,5,27,147,WB,3,1.99,ng/g,field_pollen,0.029,0.061,1.175,0.938,2.039,0.43,0.503
